name,title,class,link
1_2_6_11_12,"Phone and Video Guidelines - Sexual Violence Support & Prevention Office - 
Simon Fraser University (sfu.ca)",Sexual Violence Support and Prevention,https://www.sfu.ca/sexual-violence/get-help/Phone-and-Video-Guidelines.html
1_2_6_11_13,"Responding to Disclosures - Sexual Violence Support & Prevention Office - 
Simon Fraser University (sfu.ca)",Sexual Violence Support and Prevention,https://www.sfu.ca/sexual-violence/supporting-survivors/responding-to-disclosures.html
1_2_6_11_14,"Dear Survivor Poster - Sexual Violence Support & Prevention Office - Simon Fraser 
University (sfu.ca)",Sexual Violence Support and Prevention,https://www.sfu.ca/sexual-violence/supporting-survivors/-dearsurvivorsfu.html
1_2_6_11_15,"Request a Workshop - Sexual Violence Support & Prevention Office - Simon Fraser 
University (sfu.ca)",Sexual Violence Support and Prevention,https://www.sfu.ca/sexual-violence/education-prevention/request-a-workshop.html
1_2_6_11_16,"Safer Campuses for Everyone - Sexual Violence Support & Prevention Office - 
Simon Fraser University (sfu.ca)",Sexual Violence Support and Prevention,https://www.sfu.ca/sexual-violence/education-prevention/safer-campuses-for-everyone.html
1_2_6_11_17,"Definitions - Sexual Violence Support & Prevention Office - Simon Fraser University 
(sfu.ca)",Sexual Violence Support and Prevention,https://www.sfu.ca/sexual-violence/education-prevention/sexual-violence-definitions.html
1_2_6_11_18,"Consent Matters - Sexual Violence Support & Prevention Office - Simon Fraser 
University (sfu.ca)",Sexual Violence Support and Prevention,https://www.sfu.ca/sexual-violence/education-prevention/what-is-consent.html
1_2_6_11_19,"Sexual Assault Awareness Month - Sexual Violence Support & Prevention Office - 
Simon Fraser University (sfu.ca)",Sexual Violence Support and Prevention,https://www.sfu.ca/sexual-violence/education-prevention/saam.html
1_2_6_11_20,"Safe(r) Party Initiative - Sexual Violence Support & Prevention Office - Simon Fraser 
University (sfu.ca)",Sexual Violence Support and Prevention,https://www.sfu.ca/sexual-violence/education-prevention/safer-party.html
1_2_6_11_21,"National Day of Awareness for MMIWG2S - Sexual Violence Support & Prevention 
Office - Simon Fraser University (sfu.ca)",Sexual Violence Support and Prevention,https://www.sfu.ca/sexual-violence/education-prevention/RedDressDayMay5.html
1_2_6_11_22,"December 6 - Sexual Violence Support & Prevention Office - Simon Fraser University 
(sfu.ca)",Sexual Violence Support and Prevention,https://www.sfu.ca/sexual-violence/education-prevention/december-6.html
